CITY,Sep-03,Oct-03,Nov-03,Dec-03,Jan-04,Feb-04,Mar-04,Apr-04,May-04,Jun-04,Jul-04,Aug-04,Sep-04,Oct-04,Nov-04,Dec-04,Jan-05,Feb-05,Mar-05,Apr-05,May-05,Jun-05,Jul-05,Aug-05,Sep-05,Oct-05,Nov-05,Dec-05,Jan-06,Feb-06,Mar-06,Apr-06,May-06,Jun-06,Jul-06,Aug-06,Sep-06,Oct-06,Nov-06,Dec-06,Jan-07,Feb-07,Mar-07,Apr-07,May-07,Jun-07,Jul-07,Aug-07,Sep-07,Oct-07,Nov-07,Dec-07,Jan-08,Feb-08,Mar-08,Apr-08,May-08,Jun-08,Jul-08,Aug-08,Sep-08,Oct-08,Nov-08,Dec-08,Jan-09,Feb-09,Mar-09,Apr-09,May-09,Jun-09,Jul-09,Aug-09,Sep-09,Oct-09,Nov-09,Dec-09,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Mar-01,Mar-02,Mar-03,LAT,LON
"Anchorage, AK",,,,,,,,,,,,,,2373.0,6614.0,7830.0,9418.0,11575.0,8461.0,5416.0,5009.0,3079.0,3381.0,2702.0,3115.0,8998.0,7184.0,5533.0,8338.0,7364.0,6864.0,7089.0,4455.0,3422.0,3723.0,2569.0,2389.0,4043.0,5195.0,7142.0,5667.0,9188.0,14866.0,10392.0,5358.0,3922.0,3767.0,2467.0,2898.0,3394.0,5871.0,9168.0,9380.0,9704.0,12760.0,7586.0,5603.0,4994.0,3060.0,3180.0,2584.0,3829.0,8724.0,7211.0,5812.0,6246.0,9889.0,6503.0,9347.0,7300.0,6487.0,9252.0,19559.0,25755.0,20211.0,9417.0,8379.0,5799.0,5731.0,5332.0,6081.0,3989.0,3349.0,3585.0,2806.0,4525.0,4575.0,4796.0,8735.0,16482.0,12003.0,6878.0,5944.0,3765.0,3973.0,2768.0,2732.0,4888.0,5149.0,5744.0,9663.0,8528.0,9551.0,13818.0,9734.0,7003.0,5861.0,3690.0,6623.0,8969.0,14202.0,25296.0,27044.0,15367.0,12876.0,9763.0,8553.0,7126.0,3900.0,3064.0,4678.0,3645.0,4471.0,14629.0,13669.0,7939.0,6751.0,4672.0,4424.0,5044.0,3969.0,4237.0,2987.0,8214.0,17429.0,9353.0,8407.0,6820.0,1553.0,61.218056000000004,-149.90028059999997
"Birmingham, AL",407.0,1855.0,6739.0,39081.0,13546.0,6737.0,3304.0,2586.0,2648.0,1921.0,1721.0,1957.0,1608.0,3544.0,5794.0,6586.0,10928.0,18983.0,13393.0,6146.0,4401.0,2423.0,2527.0,1788.0,2136.0,5581.0,6107.0,6910.0,9232.0,12817.0,11003.0,6087.0,3179.0,2515.0,2812.0,1855.0,1910.0,3973.0,6289.0,20929.0,9274.0,8467.0,7697.0,5988.0,3344.0,2852.0,3020.0,2221.0,2946.0,4098.0,5727.0,6762.0,9240.0,42796.0,17204.0,5057.0,3243.0,2980.0,1922.0,2138.0,2315.0,4760.0,8622.0,7203.0,5982.0,11316.0,14475.0,6746.0,9901.0,4090.0,3810.0,14846.0,28195.0,18830.0,14967.0,8309.0,9018.0,7523.0,7324.0,4247.0,3881.0,2651.0,2244.0,2587.0,2939.0,5653.0,7691.0,20619.0,17417.0,14993.0,7523.0,4215.0,3760.0,2317.0,2555.0,1810.0,2148.0,5438.0,5847.0,6081.0,9308.0,8115.0,7447.0,7238.0,5099.0,4017.0,3606.0,2245.0,5592.0,8341.0,18539.0,61896.0,34474.0,14658.0,14358.0,6676.0,4525.0,4196.0,2471.0,3223.0,5440.0,5095.0,6799.0,32101.0,15950.0,7378.0,5937.0,4489.0,3755.0,5219.0,3229.0,2931.0,4136.0,8246.0,13742.0,34450.0,17122.0,20210.0,4845.0,33.5206824,-86.80243259999999
"Little Rock, AR",,,,,,,,,,,,,,6912.0,11325.0,12324.0,17268.0,35046.0,20936.0,13947.0,11753.0,6917.0,6915.0,4727.0,4875.0,9788.0,11114.0,12700.0,19128.0,17451.0,18498.0,15634.0,8337.0,6678.0,6709.0,4700.0,4948.0,7325.0,8808.0,17510.0,18872.0,37386.0,20467.0,14050.0,7827.0,6198.0,6955.0,5179.0,6798.0,6459.0,8879.0,14504.0,19496.0,52528.0,31017.0,12161.0,8353.0,8028.0,5316.0,5920.0,4750.0,6265.0,13051.0,12427.0,11075.0,15362.0,23720.0,11434.0,16019.0,8878.0,7310.0,13176.0,32717.0,41409.0,30854.0,14813.0,17475.0,11408.0,12175.0,9520.0,8886.0,6030.0,5466.0,6178.0,5142.0,8873.0,9714.0,11180.0,20220.0,26209.0,17453.0,10696.0,9462.0,5836.0,6077.0,4247.0,4347.0,8435.0,11263.0,12498.0,17308.0,14294.0,15986.0,15475.0,9507.0,8004.0,8015.0,5514.0,7702.0,12469.0,14738.0,41936.0,74948.0,40652.0,30605.0,14194.0,9666.0,9089.0,6242.0,6394.0,8694.0,7512.0,8423.0,23949.0,35278.0,20975.0,14409.0,9091.0,7832.0,8342.0,5934.0,6916.0,5135.0,5251.0,9159.0,32718.0,34454.0,24470.0,5457.0,34.7464809,-92.2895948
"Mesa, AZ",,,,,,,,,,,,,,,4415.0,8742.0,15514.0,13871.0,13167.0,10784.0,10644.0,7105.0,6768.0,4577.0,3967.0,5118.0,9499.0,24102.0,37048.0,13045.0,10494.0,9690.0,5713.0,4983.0,5239.0,3589.0,3388.0,4533.0,6947.0,16237.0,11396.0,11545.0,11070.0,9648.0,5583.0,4545.0,4704.0,3521.0,4310.0,4144.0,6331.0,9135.0,9178.0,20134.0,21278.0,9782.0,6776.0,6139.0,3767.0,3874.0,2739.0,2948.0,5220.0,6582.0,7877.0,8802.0,15090.0,10670.0,20867.0,7564.0,5329.0,5949.0,11758.0,44159.0,28200.0,11982.0,10872.0,8247.0,8212.0,5983.0,5707.0,3851.0,3447.0,3640.0,2966.0,5394.0,6330.0,8330.0,20015.0,25158.0,14600.0,7146.0,5570.0,3416.0,3540.0,2610.0,2662.0,4606.0,5775.0,8220.0,14822.0,12346.0,13009.0,15173.0,8661.0,6584.0,5914.0,4038.0,8497.0,8626.0,9862.0,27365.0,64794.0,27916.0,18384.0,8956.0,6870.0,6507.0,4075.0,3430.0,4793.0,5726.0,6173.0,10636.0,24380.0,15634.0,10922.0,9799.0,10844.0,11807.0,7651.0,7582.0,5466.0,7056.0,9393.0,9175.0,21900.0,17420.0,3561.0,33.4153143,-111.83126409999998
"Phoenix, AZ",757.0,3290.0,20261.0,44710.0,11494.0,8544.0,4541.0,2959.0,3194.0,2617.0,2711.0,2794.0,2140.0,5705.0,6410.0,7887.0,12549.0,11877.0,8184.0,6787.0,6873.0,3644.0,3277.0,2469.0,3404.0,8607.0,7720.0,32038.0,17028.0,7494.0,5388.0,5859.0,3611.0,2785.0,3124.0,2472.0,2734.0,6160.0,7117.0,12850.0,10263.0,9064.0,6691.0,5471.0,3166.0,2518.0,2889.0,2308.0,3722.0,3874.0,6282.0,9186.0,10875.0,22052.0,14910.0,5482.0,3712.0,3290.0,2023.0,2594.0,3079.0,4148.0,9149.0,8215.0,7603.0,9644.0,12785.0,10232.0,12851.0,5317.0,4087.0,8663.0,19095.0,40977.0,22691.0,10126.0,10981.0,7892.0,6068.0,4497.0,4618.0,3161.0,2737.0,3512.0,4605.0,6636.0,7661.0,10261.0,18212.0,20988.0,8345.0,4485.0,4444.0,2661.0,2422.0,2040.0,4307.0,7505.0,8272.0,9791.0,14216.0,12394.0,12731.0,12871.0,7256.0,5329.0,3735.0,4631.0,10110.0,9277.0,14028.0,35480.0,64243.0,25959.0,15592.0,7550.0,5645.0,4948.0,4146.0,4322.0,7598.0,5478.0,6859.0,16160.0,20816.0,14036.0,9993.0,9209.0,8860.0,7646.0,4898.0,4769.0,4802.0,9162.0,9696.0,13897.0,22319.0,13041.0,2462.0,33.44676810000001,-112.07567240000002
"Scottsdale, AZ",,,,,,,,,,,,,,2001.0,6219.0,9830.0,13237.0,10831.0,9938.0,7561.0,7414.0,4714.0,4826.0,3452.0,3074.0,7124.0,8822.0,18582.0,26114.0,8326.0,5662.0,5570.0,4130.0,3798.0,4038.0,3336.0,3027.0,4522.0,6014.0,12956.0,12113.0,11238.0,10552.0,9013.0,5128.0,4048.0,3990.0,2783.0,3299.0,3057.0,4562.0,8895.0,13171.0,26969.0,21635.0,10044.0,6827.0,6128.0,3856.0,3989.0,3046.0,3454.0,6279.0,7865.0,10020.0,11111.0,15979.0,11731.0,19455.0,7838.0,6087.0,6899.0,14797.0,43740.0,31336.0,12003.0,12220.0,8000.0,7013.0,6508.0,6347.0,4080.0,3473.0,3833.0,3069.0,5899.0,7794.0,9412.0,19749.0,25636.0,16199.0,8715.0,7083.0,4095.0,4186.0,2901.0,2916.0,5866.0,7682.0,8736.0,13526.0,11425.0,16021.0,14192.0,9018.0,7426.0,6163.0,3768.0,5999.0,8325.0,11354.0,28823.0,60976.0,26511.0,18380.0,8701.0,6799.0,6111.0,4148.0,3919.0,3789.0,5189.0,8554.0,11785.0,20235.0,18190.0,12343.0,7584.0,9692.0,8960.0,5242.0,5091.0,5038.0,7359.0,10713.0,12072.0,16275.0,16778.0,3190.0,33.5091215,-111.8992365
"Tempe, AZ",585.0,2544.0,13009.0,44556.0,19187.0,9940.0,4870.0,4092.0,3723.0,2405.0,2275.0,2561.0,2296.0,5758.0,9271.0,8969.0,14178.0,11933.0,11934.0,7670.0,7430.0,4799.0,4000.0,2405.0,2889.0,8683.0,9613.0,32841.0,22356.0,7127.0,6702.0,7531.0,4540.0,3386.0,3447.0,2473.0,3207.0,5328.0,7685.0,11308.0,10030.0,9836.0,9150.0,5625.0,3009.0,2727.0,3291.0,2523.0,4010.0,4605.0,7247.0,8706.0,11655.0,22660.0,16775.0,6821.0,4706.0,4026.0,2480.0,3087.0,3178.0,4340.0,8464.0,7660.0,8242.0,9741.0,15864.0,10415.0,22432.0,8629.0,6085.0,6875.0,15705.0,42321.0,31548.0,12408.0,11105.0,8025.0,7444.0,6411.0,6524.0,4284.0,3625.0,4154.0,3417.0,6490.0,7706.0,9404.0,16377.0,22071.0,11670.0,5919.0,5193.0,3545.0,3700.0,2668.0,2864.0,6299.0,6434.0,7264.0,11533.0,8922.0,10652.0,12720.0,8667.0,6481.0,5738.0,3693.0,6488.0,8733.0,10791.0,23169.0,55934.0,22703.0,16785.0,6638.0,5781.0,6077.0,3648.0,3463.0,4352.0,5176.0,5044.0,11486.0,18767.0,12826.0,9991.0,9588.0,8713.0,7279.0,3949.0,5566.0,6891.0,8867.0,9075.0,10902.0,21843.0,14192.0,3284.0,33.4144139,-111.90944579999999
"Tucson, AZ",598.0,3350.0,20457.0,40429.0,15566.0,7696.0,4233.0,3879.0,4184.0,3146.0,2996.0,3513.0,3011.0,7485.0,8485.0,8669.0,14725.0,17174.0,10563.0,8975.0,7414.0,3647.0,3375.0,2439.0,4622.0,9333.0,12097.0,26516.0,24556.0,9783.0,7227.0,8228.0,5935.0,4110.0,3415.0,2340.0,4206.0,7883.0,8081.0,11894.0,9237.0,10382.0,8871.0,7289.0,4252.0,3026.0,3257.0,2555.0,5378.0,4858.0,7199.0,9296.0,15231.0,33656.0,16979.0,7373.0,4870.0,4538.0,2863.0,3388.0,4154.0,5153.0,9559.0,7041.0,8405.0,8674.0,12980.0,11322.0,17128.0,6302.0,4194.0,5960.0,15652.0,45366.0,30393.0,11450.0,10919.0,8568.0,7717.0,5300.0,5921.0,3990.0,2963.0,3282.0,3798.0,7074.0,7596.0,14008.0,19982.0,16765.0,9955.0,5868.0,5828.0,3617.0,3236.0,2383.0,3828.0,7622.0,6165.0,7729.0,11998.0,10459.0,13058.0,11095.0,7052.0,4797.0,3969.0,3304.0,7601.0,7278.0,9564.0,22262.0,56622.0,22776.0,14765.0,7764.0,5890.0,4959.0,3050.0,4302.0,7365.0,6843.0,7544.0,16013.0,22587.0,16709.0,11663.0,10247.0,7946.0,8410.0,4141.0,4614.0,6176.0,6432.0,9042.0,11273.0,21941.0,13399.0,2987.0,32.2217422,-110.92647590000001
"Berkeley, CA",,,,,,,,,,,,,1629.0,6697.0,8453.0,9309.0,12019.0,15319.0,13313.0,8711.0,7722.0,5251.0,5455.0,3720.0,3741.0,7894.0,8012.0,10673.0,19676.0,11701.0,10321.0,12460.0,7359.0,6006.0,6096.0,4215.0,4102.0,6128.0,6056.0,8472.0,9071.0,18828.0,11980.0,9444.0,5606.0,4732.0,5227.0,3720.0,5348.0,5446.0,6537.0,10013.0,9371.0,24952.0,24713.0,10611.0,7303.0,6781.0,4384.0,4791.0,4195.0,6669.0,9622.0,7584.0,8448.0,13294.0,16213.0,9670.0,16763.0,10332.0,8359.0,9038.0,17174.0,18680.0,23486.0,13955.0,13039.0,10382.0,10682.0,7562.0,7728.0,5273.0,4565.0,5311.0,4245.0,6993.0,6745.0,7652.0,12737.0,14937.0,11693.0,7273.0,7160.0,4870.0,4691.0,3179.0,3341.0,7407.0,6783.0,6899.0,11370.0,9308.0,9269.0,10515.0,6143.0,5189.0,5292.0,3658.0,6461.0,8046.0,9192.0,12223.0,46600.0,26553.0,15338.0,7825.0,6115.0,5555.0,4058.0,6087.0,7572.0,6142.0,9890.0,14131.0,28454.0,15019.0,11844.0,7699.0,6948.0,7619.0,5306.0,6101.0,4450.0,4280.0,6979.0,10889.0,26600.0,22132.0,4588.0,37.8708393,-122.27286389999999
"Fresno, CA",,,,30867.0,24776.0,16040.0,7864.0,5721.0,5271.0,3113.0,2824.0,3506.0,2579.0,3878.0,4598.0,5549.0,9808.0,12972.0,9269.0,6715.0,6868.0,4334.0,4904.0,3248.0,3793.0,9600.0,7555.0,18035.0,19401.0,7788.0,7078.0,8671.0,5123.0,4067.0,4088.0,2822.0,2898.0,4876.0,6387.0,8826.0,7771.0,8207.0,7984.0,8034.0,4716.0,3800.0,3816.0,2915.0,3993.0,4253.0,5795.0,8498.0,10012.0,25330.0,13899.0,6683.0,5072.0,4840.0,3038.0,3567.0,3436.0,4328.0,7291.0,5880.0,6250.0,7308.0,11920.0,8639.0,13761.0,5439.0,5007.0,8764.0,17316.0,25015.0,21264.0,9670.0,9950.0,9667.0,9463.0,6765.0,5787.0,3720.0,3276.0,3748.0,3349.0,5544.0,5304.0,6675.0,10054.0,13743.0,12553.0,6640.0,5053.0,3243.0,3392.0,2495.0,2622.0,5584.0,6830.0,7361.0,11187.0,9133.0,10157.0,12304.0,6824.0,4932.0,4996.0,3154.0,5183.0,7597.0,12059.0,16972.0,48186.0,36595.0,20002.0,7586.0,6041.0,5595.0,4626.0,5415.0,5673.0,5630.0,6408.0,17691.0,24105.0,12739.0,8712.0,5773.0,5469.0,7326.0,5221.0,5965.0,4265.0,5074.0,8520.0,9714.0,16605.0,16491.0,3483.0,36.7295295,-119.708861160756
